# Appendix 1 of Holdaway et al. 2016 Design of New Zealand's grid -based plot network (Landcare Research contract report),,,,,,,,,,,
# Updated 19 July 2016,,,,,,,,,,,
# Static Master Data for national 8km plot grid,,,,,,,,,,,
# Created by Robert Holdaway 20th April 2016,,,,,,,,,,,
# Column A = plotID,,,,,,,,,,,
"# Columns F-K = ideal gird-based plot location, in NZTM, NZMG and WGS84",,,,,,,,,,,
# Columns B & C = ideal randomised year of measurement for a 5 year measurement cycle for all plots,,,,,,,,,,,
# Columns D & E = ideal randomised year of measurement for a 10 year measurement cycle for all plots,,,,,,,,,,,
"# Column L = regional boundaries based on the New Zealand 2016 12 mile high definition spatial layer, downloaded from Statistics New Zealand on 14 April 2016",,,,,,,,,,,
#,,,,,,,,,,,
PlotID,cycle.year,cycle.code,cycle.year.10yr,cycle.code.10yr,NZMG_Northing,NZMG_Easting,WGS84_Lat,WGS84_Long,NZTM_Northing,NZTM_Easting,Region
AD136,2018,5,2022,9,5709074,2208051,-43.76451345,169.2486527,5147439.09,1298042.493,West Coast Region
AD137,2018,5,2022,9,5701074,2208051,-43.83643826,169.2441448,5139433.64,1298042.611,West Coast Region
AD138,2015,2,2017,4,5693074,2208051,-43.90836322,169.2396242,5131428.047,1298043.07,West Coast Region
AD139,2017,4,2021,8,5685074,2208051,-43.98028829,169.235091,5123422.315,1298043.865,West Coast Region
AD140,2017,4,2021,8,5677074,2208051,-44.05221335,169.2305454,5115416.458,1298045.027,West Coast Region
AD141,2016,3,2018,5,5669074,2208051,-44.12413834,169.2259875,5107410.483,1298046.573,Otago Region
AD142,2014,1,2015,2,5661074,2208051,-44.19606319,169.2214175,5099404.398,1298048.513,Otago Region
AD143,2018,5,2022,9,5653074,2208051,-44.26798812,169.2168355,5091398.181,1298050.87,Otago Region
AD144,2015,2,2016,3,5645074,2208051,-44.33991278,169.2122416,5083391.871,1298053.648,Otago Region
AD145,2014,1,2014,1,5637074,2208051,-44.41183707,169.2076361,5075385.478,1298056.87,Otago Region
AD146,2018,5,2022,9,5629074,2208051,-44.48376085,169.2030195,5067379.023,1298060.594,Otago Region
AD147,2018,5,2022,9,5621074,2208051,-44.55568374,169.1983913,5059372.544,1298064.779,Otago Region
AD148,2016,3,2018,5,5613074,2208051,-44.62760553,169.1937517,5051366.065,1298069.437,Otago Region
AD149,2018,5,2022,9,5605074,2208051,-44.69952608,169.1891007,5043359.604,1298074.581,Otago Region
AD150,2017,4,2020,7,5597074,2208051,-44.77144603,169.1844379,5035353.087,1298080.172,Otago Region
AD151,2014,1,2014,1,5589074,2208051,-44.84336531,169.1797631,5027346.522,1298086.215,Otago Region
AD152,2014,1,2015,2,5581074,2208051,-44.91528384,169.1750764,5019339.917,1298092.711,Otago Region
AD153,2015,2,2017,4,5573074,2208051,-44.98720158,169.1703776,5011333.278,1298099.66,Otago Region
AD154,2015,2,2017,4,5565074,2208051,-45.05911841,169.1656669,5003326.616,1298107.073,Otago Region
AD155,2016,3,2018,5,5557074,2208051,-45.13103429,169.1609445,4995319.941,1298114.972,Otago Region
AD156,2017,4,2020,7,5549074,2208051,-45.20294914,169.1562105,4987313.257,1298123.365,Otago Region
AD157,2016,3,2018,5,5541074,2208051,-45.27486294,169.1514646,4979306.57,1298132.246,Otago Region
AD158,2014,1,2014,1,5533074,2208051,-45.34677573,169.1467071,4971299.875,1298141.629,Southland Region
AD159,2015,2,2016,3,5525074,2208051,-45.41868741,169.1419378,4963293.182,1298151.512,Southland Region
AD160,2017,4,2020,7,5517074,2208051,-45.49059793,169.1371567,4955286.497,1298161.892,Otago Region
AD161,2014,1,2014,1,5509074,2208051,-45.56250736,169.1323637,4947279.813,1298172.773,Otago Region
AD162,2015,2,2017,4,5501074,2208051,-45.63441546,169.127559,4939273.157,1298184.168,Otago Region
AD163,2015,2,2016,3,5493074,2208051,-45.70632215,169.1227426,4931266.536,1298196.084,Otago Region
AD164,2016,3,2019,6,5485074,2208051,-45.7782274,169.1179145,4923259.958,1298208.526,Otago Region
AD165,2016,3,2019,6,5477074,2208051,-45.85013097,169.1130745,4915253.445,1298221.479,Otago Region
AD166,2014,1,2015,2,5469074,2208051,-45.92203291,169.1082225,4907246.993,1298234.951,Otago Region
AD167,2018,5,2022,9,5461074,2208051,-45.99393322,169.1033588,4899240.603,1298248.949,Otago Region
AD168,2015,2,2016,3,5453074,2208051,-46.06583204,169.0984836,4891234.262,1298263.518,Southland Region
AD169,2016,3,2019,6,5445074,2208051,-46.13772927,169.0935967,4883227.978,1298278.631,Southland Region
AD170,2015,2,2016,3,5437074,2208051,-46.20962494,169.088698,4875221.75,1298294.286,Southland Region
AD171,2016,3,2018,5,5429074,2208051,-46.28151928,169.0837873,4867215.549,1298310.478,Southland Region
AD172,2017,4,2021,8,5421074,2208051,-46.35341178,169.0788648,4859209.435,1298327.223,Southland Region
AD173,2016,3,2018,5,5413074,2208051,-46.42530239,169.0739304,4851203.412,1298344.523,Southland Region
AD174,2018,5,2022,9,5405074,2208051,-46.49719105,169.0689843,4843197.488,1298362.384,Southland Region
AD175,2014,1,2015,2,5397074,2208051,-46.56907778,169.0640265,4835191.662,1298380.83,Southland Region
AD176,2014,1,2015,2,5389074,2208051,-46.64096262,169.0590571,4827185.929,1298399.857,Southland Region
AE135,2014,1,2014,1,5717074,2216051,-43.69580247,169.3522769,5155444.076,1306047.693,West Coast Region
AE136,2016,3,2018,5,5709074,2216051,-43.76773194,169.3479014,5147439.134,1306047.594,West Coast Region
AE137,2017,4,2020,7,5701074,2216051,-43.83966165,169.3435138,5139434.039,1306047.825,West Coast Region
AE138,2018,5,2023,10,5693074,2216051,-43.91159155,169.3391139,5131428.798,1306048.391,West Coast Region
AE139,2016,3,2019,6,5685074,2216051,-43.98352161,169.3347016,5123423.413,1306049.288,West Coast Region
AE140,2018,5,2023,10,5677074,2216051,-44.05545143,169.3302774,5115417.931,1306050.55,West Coast Region
AE141,2016,3,2018,5,5669074,2216051,-44.12738104,169.3258414,5107412.348,1306052.193,Otago Region
AE142,2015,2,2016,3,5661074,2216051,-44.19931041,169.3213937,5099406.669,1306054.224,Otago Region
AE143,2014,1,2014,1,5653074,2216051,-44.27123974,169.3169343,5091400.872,1306056.667,Otago Region
AE144,2017,4,2021,8,5645074,2216051,-44.34316876,169.3124635,5083394.987,1306059.525,Otago Region
AE145,2016,3,2019,6,5637074,2216051,-44.41509738,169.3079814,5075389.025,1306062.828,Otago Region
AE146,2014,1,2014,1,5629074,2216051,-44.4870255,169.3034889,5067383.001,1306066.641,Otago Region
AE147,2018,5,2022,9,5621074,2216051,-44.55895268,169.2989851,5059376.961,1306070.905,Otago Region
AE148,2014,1,2014,1,5613074,2216051,-44.63087864,169.2944703,5051370.936,1306075.636,Otago Region
AE149,2015,2,2016,3,5605074,2216051,-44.70280332,169.2899445,5043364.934,1306080.842,Otago Region
AE150,2018,5,2022,9,5597074,2216051,-44.77472739,169.2854072,5035358.877,1306086.485,Otago Region
AE151,2018,5,2022,9,5589074,2216051,-44.8466508,169.2808582,5027352.773,1306092.571,Otago Region
AE152,2017,4,2021,8,5581074,2216051,-44.91857344,169.2762977,5019346.633,1306099.103,Otago Region
AE153,2016,3,2018,5,5573074,2216051,-44.99049526,169.2717255,5011340.463,1306106.079,Otago Region
AE154,2018,5,2023,10,5565074,2216051,-45.06241616,169.2671418,5003334.275,1306113.511,Otago Region
AE155,2015,2,2016,3,5557074,2216051,-45.13433608,169.2625468,4995328.075,1306121.424,Otago Region
AE156,2014,1,2015,2,5549074,2216051,-45.20625496,169.2579405,4987321.872,1306129.823,Otago Region
AE157,2014,1,2014,1,5541074,2216051,-45.27817273,169.2533228,4979315.672,1306138.705,Otago Region
AE158,2018,5,2022,9,5533074,2216051,-45.35008947,169.2486939,4971309.467,1306148.083,Otago Region
AE159,2018,5,2022,9,5525074,2216051,-45.42200508,169.2440536,4963303.269,1306157.952,Otago Region
AE160,2018,5,2022,9,5517074,2216051,-45.49391947,169.2394019,4955297.087,1306168.313,Otago Region
AE161,2018,5,2023,10,5509074,2216051,-45.56583273,169.2347387,4947290.911,1306179.167,Otago Region
AE162,2017,4,2020,7,5501074,2216051,-45.63774464,169.2300642,4939284.767,1306190.53,Otago Region
